"oneyear.int";"year";"sample";"Freq"
"1798";"(1.2,1.8]";"2000";"me4";NA
"1802";"(1.2,1.8]";"2001";"me4";NA
"1806";"(1.2,1.8]";"2002";"me4";NA
"1810";"(1.2,1.8]";"2003";"me4";NA
"1814";"(1.2,1.8]";"2004";"me4";NA
"1818";"(1.2,1.8]";"2005";"me4";NA
"1822";"(1.2,1.8]";"2006";"me4";NA
"1826";"(1.2,1.8]";"2007";"me4";NA
"1830";"(1.2,1.8]";"2008";"me4";NA
"1834";"(1.2,1.8]";"2009";"me4";NA
"1838";"(1.2,1.8]";"2010";"me4";NA
"1842";"(1.2,1.8]";"2011";"me4";NA
"1846";"(1.2,1.8]";"2012";"me4";NA
"1850";"(1.2,1.8]";"1992";"me5";0
"1854";"(1.2,1.8]";"1993";"me5";0
"1858";"(1.2,1.8]";"1994";"me5";NA
"1862";"(1.2,1.8]";"1995";"me5";NA
"1866";"(1.2,1.8]";"1996";"me5";NA
"1870";"(1.2,1.8]";"1997";"me5";NA
"1874";"(1.2,1.8]";"1998";"me5";NA
"1878";"(1.2,1.8]";"1999";"me5";NA
"1882";"(1.2,1.8]";"2000";"me5";NA
"1886";"(1.2,1.8]";"2001";"me5";NA
"1890";"(1.2,1.8]";"2002";"me5";NA
"1894";"(1.2,1.8]";"2003";"me5";NA
"1898";"(1.2,1.8]";"2004";"me5";NA
"1902";"(1.2,1.8]";"2005";"me5";NA
"1906";"(1.2,1.8]";"2006";"me5";NA
"1910";"(1.2,1.8]";"2007";"me5";NA
"1914";"(1.2,1.8]";"2008";"me5";NA
"1918";"(1.2,1.8]";"2009";"me5";NA
"1922";"(1.2,1.8]";"2010";"me5";NA
"1926";"(1.2,1.8]";"2011";"me5";NA
"1930";"(1.2,1.8]";"2012";"me5";NA
"1934";"(1.2,1.8]";"1992";"me6";0
"1938";"(1.2,1.8]";"1993";"me6";0
"1942";"(1.2,1.8]";"1994";"me6";NA
"1946";"(1.2,1.8]";"1995";"me6";NA
"1950";"(1.2,1.8]";"1996";"me6";NA
"1954";"(1.2,1.8]";"1997";"me6";NA
"1958";"(1.2,1.8]";"1998";"me6";NA
"1962";"(1.2,1.8]";"1999";"me6";NA
"1966";"(1.2,1.8]";"2000";"me6";NA
"1970";"(1.2,1.8]";"2001";"me6";NA
"1974";"(1.2,1.8]";"2002";"me6";NA
"1978";"(1.2,1.8]";"2003";"me6";NA
"1982";"(1.2,1.8]";"2004";"me6";NA
"1986";"(1.2,1.8]";"2005";"me6";NA
"1990";"(1.2,1.8]";"2006";"me6";NA
"1994";"(1.2,1.8]";"2007";"me6";NA
"1998";"(1.2,1.8]";"2008";"me6";NA
"2002";"(1.2,1.8]";"2009";"me6";NA
"2006";"(1.2,1.8]";"2010";"me6";NA
"2010";"(1.2,1.8]";"2011";"me6";NA
"2014";"(1.2,1.8]";"2012";"me6";NA
